feature,importance
bert_dim_475,0.0005722871291621984
bert_dim_261,0.0005718431655611343
bert_dim_347,0.000571800187526569
bert_dim_100,0.0005703271108829728
bert_dim_448,0.0005699290059726233
bert_dim_473,0.0005692952493835897
bert_dim_95,0.0005680404914485399
bert_dim_6,0.0005667593727784442
bert_dim_202,0.0005667253393239576
bert_dim_218,0.0005663882934726508
bert_dim_727,0.000565645678849351
bert_dim_500,0.000565004613772726
bert_dim_399,0.0005631640293919818
bert_dim_179,0.0005623273511279133
bert_dim_418,0.0005619330030958877
bert_dim_661,0.0005614526134197568
bert_dim_310,0.0005604712282778259
bert_dim_427,0.0005604406962100606
bert_dim_210,0.0005602829621909175
bert_dim_71,0.0005599068487393859
bert_dim_402,0.0005597694132052184
bert_dim_157,0.0005572174571830263
bert_dim_510,0.0005568783202359009
bert_dim_203,0.0005564954743296691
bert_dim_592,0.0005559373891712185
bert_dim_18,0.0005529498218244587
bert_dim_429,0.0005523172899103194
bert_dim_684,0.0005515617192310526
bert_dim_345,0.0005513309295428321
bert_dim_701,0.0005508564911369785
bert_dim_398,0.0005506444566128799
bert_dim_462,0.0005505707602153777
bert_dim_142,0.0005501405073598647
bert_dim_230,0.0005499097581824948
bert_dim_578,0.0005485327166157976
bert_dim_348,0.0005474799459495221
bert_dim_700,0.0005471438371274394
bert_dim_30,0.0005470510011893582
bert_dim_247,0.0005470061741243439
bert_dim_572,0.0005468254443985247
bert_dim_313,0.0005467322080359002
bert_dim_263,0.0005461591686317267
bert_dim_405,0.0005453480356676068
bert_dim_10,0.0005449866523260915
bert_dim_706,0.0005440478058028685
bert_dim_388,0.0005435018228558657
bert_dim_742,0.0005434601758875992
bert_dim_413,0.0005434508611663362
bert_dim_83,0.0005401771749472157
bert_dim_272,0.0005395845643178732
bert_dim_569,0.0005386305979843634
bert_dim_110,0.0005385217046567441
bert_dim_593,0.0005377649348338
bert_dim_273,0.0005377549337129984
bert_dim_403,0.0005364458160261074
bert_dim_501,0.00053604550651088
bert_dim_116,0.0005353464113561319
bert_dim_351,0.0005343887551270918
bert_dim_128,0.0005333106231375434
bert_dim_610,0.0005331874839252087
bert_dim_426,0.0005328982344333821
bert_dim_662,0.0005327079731497729
bert_dim_380,0.0005319983757855894
bert_dim_334,0.0005312603696003539
bert_dim_709,0.000531205874444963
bert_dim_264,0.0005307983744181695
bert_dim_538,0.0005299721371200178
bert_dim_256,0.000529855794643369
bert_dim_51,0.0005296341460493927
bert_dim_344,0.0005296247905331533
bert_dim_531,0.0005294010777358393
bert_dim_208,0.000528932767312652
bert_dim_90,0.0005282782039472977
bert_dim_655,0.0005282085448997022
bert_dim_134,0.0005276730144730294
bert_dim_14,0.0005272544621086806
bert_dim_699,0.0005267636208659411
bert_dim_123,0.0005264412782795395
bert_dim_594,0.0005263800888491915
bert_dim_621,0.0005261690060847193
bert_dim_442,0.0005260640483150769
bert_dim_472,0.0005243219414281412
bert_dim_80,0.0005240927852238916
bert_dim_668,0.0005237420939315864
bert_dim_762,0.00052325786994493
bert_dim_176,0.0005228575415337866
bert_dim_121,0.0005227853769014386
bert_dim_311,0.0005227843440540308
bert_dim_632,0.0005225373586037574
bert_dim_222,0.000522354024073528
bert_dim_383,0.0005223505530341189
bert_dim_82,0.0005214197946934594
bert_dim_127,0.0005206891394590856
bert_dim_657,0.0005200235142837322
bert_dim_147,0.0005192018168098374
bert_dim_26,0.0005181760744016685
bert_dim_267,0.0005180781451707942
bert_dim_611,0.0005173524259062378
bert_dim_108,0.0005172379099285764
bert_dim_58,0.0005171810137348899
bert_dim_328,0.0005163800485329458
bert_dim_352,0.0005163516316229799
bert_dim_659,0.0005152032704409808
bert_dim_622,0.0005148437456364494
bert_dim_249,0.0005146010561454911
bert_dim_401,0.0005143050400631387
bert_dim_757,0.0005131666332612233
bert_dim_146,0.0005130551005927252
bert_dim_297,0.0005129304872181167
bert_dim_243,0.0005117771070847937
bert_dim_548,0.0005116651349568288
bert_dim_582,0.0005109980242552175
bert_dim_604,0.0005106555219772516
bert_dim_393,0.0005102995352622582
bert_dim_486,0.0005100931586173377
bert_dim_634,0.0005098886649310899
bert_dim_1,0.0005097936129187689
bert_dim_683,0.0005091502636641568
bert_dim_52,0.0005083071339204423
bert_dim_509,0.0005078282715875083
bert_dim_265,0.0005072089262672894
bert_dim_477,0.0005069635553478028
bert_dim_490,0.0005063797564708685
bert_dim_101,0.0005057649962299084
bert_dim_150,0.000504996207469568
bert_dim_338,0.0005039194771206083
bert_dim_520,0.0005035751376290768
bert_dim_554,0.0005034623082738315
bert_dim_254,0.0005020116354861824
bert_dim_137,0.0005016025315883275
bert_dim_708,0.0005014803942917372
bert_dim_319,0.0004997102552953249
bert_dim_125,0.0004995891367990467
bert_dim_680,0.0004995188935094081
bert_dim_42,0.000498891567345736
bert_dim_665,0.0004987192970183756
bert_dim_730,0.0004981269908595729
bert_dim_619,0.0004978667211279487
bert_dim_171,0.0004968701529531554
bert_dim_342,0.0004964357168199698
